LIGAND INFORMATION,,,,,IN VITRO ASSAYS,,,,,,,,,CELL-BASED ASSAYS,,,,,,,,ANIMAL MODELS,,,,,,,,,,,,,,
#,Previous ID #,SMILES,Name,DOI/PMC,Control,Assay Target(s) ,Observation,Ligand Concentration,Buffer,Category,Assay,Method/Notes,Control/Validation,Control,Cell Line,Observation,Concentration,Category,Assay,Method Notes,Control/Validation,Control,Organism,Observation,Administration/Concentration,Category,Assay,Method/Notes,Control/Validation,,,,,,,
R-BIND (LM) 0008,R-BIND (MV) 0013,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)C[NH2+]CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)C(=O)N(CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)CC(N)=O,2HE-5NMe,10.1021/acschembio.6b00147,,r(CGG)12,"Kd = 50 ± 0.6 nM (binding mode 1), Kd = 65 ± 1.4 nM (binding mode 2); Kon = 2.11 ± 0.01 x 10^3 1/M*s (binding mode 1), Kon = 8.90 ± 0.12 x 10^4  1/M*s (binding mode 2); Koff = 1.03 ± 0.01 x 10^-04 1/s (binding mode 1), Koff = 5.84 ± 0.37 x 10^-3 1/s",Ligand = NR; RNA = 60 nM,1 X Kinetics Buffer (ForteBio),Binding,Biolayer Interferometry,Best fit to a 2:1 heterogeneous ligand mode,Sample with no compound was used as background,,HeLa Cells (FXTAS),Restores alternative SMN2 splicing patterns back to wild-type,Ligand = 50 µM,RNA Splicing,RT-PCR,As determined by comparing the percentage of exon 7 inclusion in untreated cells that express r(CGG)exp to the percentage of exon inclusion in treated cells using a two-tailed Student's t test,"Compared to no compound, monomer, and non-FXTAS-affected cells",,,,,,,,,,,,,,,
R-BIND (LM) 0008,R-BIND (MV) 0013,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)C[NH2+]CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)C(=O)N(CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)CC(N)=O,2HE-5NMe,10.1021/acschembio.6b00147,,r(CGG)12,5x10^-7 M ligand bound,Ligand = 1 µM; RNA or Protein = 2 µM,NR,Binding,Competition Dialysis,-,Compared to r(GCGC) and protein DGCR8; Observed less binding,C,HeLa Cells (FXTAS),No effect on cTNT splicing,Ligand = 50 µM,RNA Splicing,RT-PCR,Not regulated by Sam68,"Compared to untreated cells, and those that don't express r(CGG)exp",,,,,,,,,,,,,,,
R-BIND (LM) 0008,R-BIND (MV) 0013,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)C[NH2+]CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)C(=O)N(CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)CC(N)=O,2HE-5NMe,10.1021/acschembio.6b00147,,r(CGG)12,?H = -74.9 ± 1.1 kcal/mol; ?S = 219 ± 3 cal/K*mol; ?G = -7.04 ± 0.13 kcal/mol; Tm = 69.2 ± 0.3 ºC,"Ligand = 0.5, 1.0, 2.5, 5.0 µM; RNA = 1 µM","2 mM Na2HPO4 (pH = 7.0), 45 mM NaCl, and 25 ?M Na2EDTA",Binding,Optical Melting,-,Compared to monomers,C,HeLa Cells (FXTAS),No effect on IR splicing,Ligand = 50 µM,RNA Splicing,RT-PCR,Not regulated by Sam68,"Compared to untreated cells, and those that don't express r(CGG)exp",,,,,,,,,,,,,,,
R-BIND (LM) 0008,R-BIND (MV) 0013,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)C[NH2+]CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)C(=O)N(CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)CC(N)=O,2HE-5NMe,10.1021/acschembio.6b00147,,,,,,,,,,,HeLa Cells (FXTAS),Prevents ~75% of nuclear foci formation,Ligand = 50 µM,Nuclear Foci Dispersion,Fluorescence Microscopy,"Ligand was applied to cells shortly after transfection with a plasmid expressing (CGG)60- Spinach2, an RNA GFP mimic. Treated for 24 h",Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0008,R-BIND (MV) 0013,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)C[NH2+]CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)C(=O)N(CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)CC(N)=O,2HE-5NMe,10.1021/acschembio.6b00147,,,,,,,,,,,HeLa Cells (FXTAS),Disrupts ~60% of preformed foci,Ligand = 50 µM,Nuclear Foci Dispersion,-,Cells were treated with the compound 24 h post-transfection to determine if the compound can disrupt preformed foci. Transfection medium was replaced by compound medium. Transfection positive cells were imaged and checked for foci.,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0008,R-BIND (MV) 0013,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)C[NH2+]CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)C(=O)N(CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)CC(N)=O,2HE-5NMe,10.1021/acschembio.6b00147,,,,,,,,,,,HeLa Cells (FXTAS),Most foci were dissolved within the first hour and fully disappeared by 4 h,Ligand = 50 µM,Nuclear Foci Dispersion,Fluorescence Microscopy,Time-course experiment,Compared to untreated cells; Compared rate of nuclear foci disruption to improvement in splicing-defects and observed a direct correlation,,,,,,,,,,,,,,,
R-BIND (LM) 0008,R-BIND (MV) 0013,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)C[NH2+]CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)C(=O)N(CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)CC(N)=O,2HE-5NMe,10.1021/acschembio.6b00147,,,,,,,,,,,HeLa Cells (FXTAS),~80% inhibition of RANT,Ligand = 50 µM,Translational Activity,Reporter,"Employed a cellular model system in which r(CGG)88 is embedded in the 5? UTR of green fluorescent protein (GFP). The construct was developed such that the orientation of the r(CGG) in the 5? UTR relative to the GFP open reading frame (ORF) mimics that between r(CGG)exp and the ORF in FMR1. Two translation products are observed in cells, the canonical translation product GFP and the RANT product polyG-GFP. The two products can be resolved by SDS-PAGE and visualized by Western blot with an anti-GFP antibody.",Compared to untreated cells and cells with GFP only,,,,,,,,,,,,,,,
R-BIND (LM) 0008,R-BIND (MV) 0013,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)C[NH2+]CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)C(=O)N(CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)CC(N)=O,2HE-5NMe,10.1021/acschembio.6b00147,,,,,,,,,,C,HeLa Cells (FXTAS),No effect on r(CGG)88 GFP mRNA levels,Ligand = 50 µM,Translational Activity,qRT-PCR,-,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0008,R-BIND (MV) 0013,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)C[NH2+]CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)C(=O)N(CCCN1C=C(C[N+]2=CC3=C(C)C4=C(NC5=C4C=C(O)C=C5)C(C)=C3C=C2)N=N1)CC(N)=O,2HE-5NMe,10.1021/acschembio.6b00147,,,,,,,,,,,HeLa Cells (FXTAS),No change in cell proliferation,Ligand = 50 µM,Cytotoxicity,WST-1,-,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0009,R-BIND (MV) 0014,C[NH+]1CCN(CC1)C1=CC=C2NC(=NC2=C1)C1=CC=C2NC(=NC2=C1)C1=CC(OCCCC(=O)NCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)=CC=C1,2H-3G,10.1021/cb400265y,,r(CUG)12-MBNL1 complex,IC50 = ~ 3 µM,NR,"20 mM HEPES (pH = 7.5), 110 mM KCl, 110 mM NaCl, 0.1% (w/v) BSA, 2 mM MgCl2, 2 mM CaCl2, 0.05% (v/v) Tween-20, and 5 mM DTT",Protein Displacement,TR-FRET,-,Corrected for background noise,,HeLa Cells (DM1),~70% improvement in cTNT Exon 5 inclusion,Ligand = 10 µM,RNA Splicing,RT-PCR,"Cells were treated post-transfection with 10 ?M compound in growth medium. In the absence of r(CUG)exp, the exon 5 inclusion rate is ?45%, whereas in the presence of r(CUG) exp, the exon 5 inclusion rate is ?85% ","Compared to untreated cells, and cells lacking r(CUG)exp",,,,,,,,,,,,,,,
R-BIND (LM) 0009,R-BIND (MV) 0014,C[NH+]1CCN(CC1)C1=CC=C2NC(=NC2=C1)C1=CC=C2NC(=NC2=C1)C1=CC(OCCCC(=O)NCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)=CC=C1,2H-3G,10.1021/cb400265y,C,Pronase,Intermediate pronase stability at pH = 7.8 and pH = 9.0,Ligand = 400 µM; Protein = 1 U,50 mM Tris-HCl (pH = 7.8 or 9.0) and 10 mM CaCl2,Activity,Pronase Activity,Incubated for 18 h. Products were analyzed by HPLC,-,,HeLa Cells (DM1),~125% enhancement of luciferase activity,Ligand = 10 µM,Translational Activity,Reporter,Cells expressing 800 or 0 CTG repeats in the 3' UTR of luciferase were used. Cells were then treated with compound and monitored for luciferase activity.,"Compared to parent compound, 2H-4. Enhancement of Luciferase activity is relative to untreated cells. ",,,,,,,,,,,,,,,
R-BIND (LM) 0009,R-BIND (MV) 0014,C[NH+]1CCN(CC1)C1=CC=C2NC(=NC2=C1)C1=CC=C2NC(=NC2=C1)C1=CC(OCCCC(=O)NCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)=CC=C1,2H-3G,10.1021/cb400265y,,,,,,,,,,C,HeLa Cells (DM1),Compound is cell-permeable,"Ligand = 1, 10 µM",Cell Uptake,Fluorescence Microscopy,-,"Compared to parent compound, 2H-4. ",,,,,,,,,,,,,,,
R-BIND (LM) 0009,R-BIND (MV) 0014,C[NH+]1CCN(CC1)C1=CC=C2NC(=NC2=C1)C1=CC=C2NC(=NC2=C1)C1=CC(OCCCC(=O)NCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)=CC=C1,2H-3G,10.1021/cb400265y,,,,,,,,,,C,C2C12 Cells,No effect on toxicity,"Ligand = 1, 10 µM",Cytotoxicity,Propidium Iodide Stain,-,"Compared to parent compound, 2H-4. ",,,,,,,,,,,,,,,
R-BIND (LM) 0010,R-BIND (MV) 0015,C[C@@H](N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)NCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-3NMe,10.1021/cb400265y,,r(CUG)12-MBNL1 complex,IC50 = ~ 30 µM,NR,"20 mM HEPES (pH = 7.5), 110 mM KCl, 110 mM NaCl, 0.1% (w/v) BSA, 2 mM MgCl2, 2 mM CaCl2, 0.05% (v/v) Tween-20, and 5 mM DTT",Protein Displacement,TR-FRET,-,Corrected for background noise,,HeLa Cells (DM1),~85% improvement in cTNT Exon 5 inclusion,Ligand = 10 µM,RNA Splicing,RT-PCR,"Cells were treated post-transfection with 10 ?M compound in growth medium. In the absence of r(CUG)exp, the exon 5 inclusion rate is ?45%, whereas in the presence of r(CUG) exp, the exon 5 inclusion rate is ?85% ","Compared to untreated cells, and cells lacking r(CUG)exp",,,,,,,,,,,,,,,
R-BIND (LM) 0010,R-BIND (MV) 0015,C[C@@H](N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)NCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-3NMe,10.1021/cb400265y,C,Pronase,Pronase unstable at pH = 7.8 and pH = 9.0,Ligand = 400 µM; Protein = 1 U,50 mM Tris-HCl (pH = 7.8 or 9.0) and 10 mM CaCl2,Activity,Pronase Activity,Incubated for 18 h. Products were analyzed by HPLC,-,,C2C12 Cells,~100% enhancement of luciferase activity,Ligand = 10 µM,Translational Activity,Reporter,Cells expressing 800 or 0 CTG repeats in the 3' UTR of luciferase were used. Cells were then treated with compound and monitored for luciferase activity.,"Compared to parent compound, 2H-4. Enhancement of Luciferase activity is relative to untreated cells. ",,,,,,,,,,,,,,,
R-BIND (LM) 0010,R-BIND (MV) 0015,C[C@@H](N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)NCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-3NMe,10.1021/cb400265y,,,,,,,,,,C,C2C12 Cells,Compound is cell-permeable,"Ligand = 1, 10 µM",Cell Uptake,Fluorescence Microscopy,-,"Compared to parent compound, 2H-4. ",,,,,,,,,,,,,,,
R-BIND (LM) 0010,R-BIND (MV) 0015,C[C@@H](N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)NCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-3NMe,10.1021/cb400265y,,,,,,,,,,C,C2C12 Cells,No effect on toxicity,"Ligand = 1, 10 µM",Cytotoxicity,Propidium Iodide Stain,-,"Compared to parent compound, 2H-4. ",,,,,,,,,,,,,,,
R-BIND (LM) 0011,R-BIND (MV) 0016,CCCN([C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N(CCC)[C@H](C)C(=O)NCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-3NPr,10.1021/cb400265y,,r(CUG)12-MBNL1 complex,IC50 = ~ 15 µM,NR,"20 mM HEPES (pH = 7.5), 110 mM KCl, 110 mM NaCl, 0.1% (w/v) BSA, 2 mM MgCl2, 2 mM CaCl2, 0.05% (v/v) Tween-20, and 5 mM DTT",Protein Displacement,TR-FRET,-,Corrected for background noise,,HeLa Cells (DM1),~83% improvement in cTNT Exon 5 inclusion,Ligand = 10 µM,RNA Splicing,RT-PCR,"Cells were treated post-transfection with 10 ?M compound in growth medium. In the absence of r(CUG)exp, the exon 5 inclusion rate is ?45%, whereas in the presence of r(CUG) exp, the exon 5 inclusion rate is ?85% ","Compared to untreated cells, and cells lacking r(CUG)exp",,,,,,,,,,,,,,,
R-BIND (LM) 0011,R-BIND (MV) 0016,CCCN([C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N(CCC)[C@H](C)C(=O)NCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-3NPr,10.1021/cb400265y,C,Pronase,Intermediate pronase stability at pH = 7.8 and pH = 9.0,Ligand = 400 µM; Protein = 1 U,50 mM Tris-HCl (pH = 7.8 or 9.0) and 10 mM CaCl2,Activity,Pronase Activity,Incubated for 18 h. Products were analyzed by HPLC,-,,C2C12 Cells,~95% enhancement of luciferase activity,Ligand = 10 µM,Translational Activity,Reporter,Cells expressing 800 or 0 CTG repeats in the 3' UTR of luciferase were used. Cells were then treated with compound and monitored for luciferase activity.,"Compared to parent compound, 2H-4. Enhancement of Luciferase activity is relative to untreated cells. ",,,,,,,,,,,,,,,
R-BIND (LM) 0011,R-BIND (MV) 0016,CCCN([C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N(CCC)[C@H](C)C(=O)NCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-3NPr,10.1021/cb400265y,,,,,,,,,,C,C2C12 Cells,Compound is cell-permeable,"Ligand = 1, 10 µM",Cell Uptake,Fluorescence Microscopy,-,"Compared to parent compound, 2H-4. ",,,,,,,,,,,,,,,
R-BIND (LM) 0011,R-BIND (MV) 0016,CCCN([C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N(CCC)[C@H](C)C(=O)NCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-3NPr,10.1021/cb400265y,,,,,,,,,,C,C2C12 Cells,No effect on toxicity,"Ligand = 1, 10 µM",Cytotoxicity,Propidium Iodide Stain,-,"Compared to parent compound, 2H-4. ",,,,,,,,,,,,,,,
R-BIND (LM) 0012,R-BIND (MV) 0017,CCCN(CC(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O)C(=O)CN(CCC)C(=O)CN(CCC)C(=O)CN(CCC)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-K4,10.1021/cb400265y,,r(CUG)12-MBNL1 complex,IC50 = ~ 30 µM,NR,"20 mM HEPES (pH = 7.5), 110 mM KCl, 110 mM NaCl, 0.1% (w/v) BSA, 2 mM MgCl2, 2 mM CaCl2, 0.05% (v/v) Tween-20, and 5 mM DTT",Protein Displacement,TR-FRET,-,Corrected for background noise,,HeLa Cells (DM1),~80% improvement in cTNT Exon 5 inclusion,Ligand = 10 µM,RNA Splicing,RT-PCR,"Cells were treated post-transfection with 10 ?M compound in growth medium. In the absence of r(CUG)exp, the exon 5 inclusion rate is ?45%, whereas in the presence of r(CUG) exp, the exon 5 inclusion rate is ?85% ","Compared to untreated cells, and cells lacking r(CUG)exp",,,,,,,,,,,,,,,
R-BIND (LM) 0012,R-BIND (MV) 0017,CCCN(CC(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O)C(=O)CN(CCC)C(=O)CN(CCC)C(=O)CN(CCC)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-K4,10.1021/cb400265y,C,Pronase,Intermediate pronase stability at pH = 7.8 and pH = 9.0,Ligand = 400 µM,50 mM Tris-HCl (pH = 7.8 or 9.0) and 10 mM CaCl2,Activity,Pronase Activity,Incubated for 18 h. Products were analyzed by HPLC,-,,C2C12 Cells,~140% enhancement of luciferase activity,Ligand = 10 µM,Translational Activity,Reporter,Cells expressing 800 or 0 CTG repeats in the 3' UTR of luciferase were used. Cells were then treated with compound and monitored for luciferase activity.,Enhancement of Luciferase activity is relative to untreated cells. ,,,,,,,,,,,,,,,
R-BIND (LM) 0012,R-BIND (MV) 0017,CCCN(CC(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O)C(=O)CN(CCC)C(=O)CN(CCC)C(=O)CN(CCC)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-K4,10.1021/cb400265y,,,,,,,,,,C,C2C12 Cells ,Compound is cell-permeable,"Ligand = 1, 10 µM",Cell Uptake,Flow Cytometry,-,Hoechst 33258 used as positive control for gating. ,,,,,,,,,,,,,,,
R-BIND (LM) 0012,R-BIND (MV) 0017,CCCN(CC(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O)C(=O)CN(CCC)C(=O)CN(CCC)C(=O)CN(CCC)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-K4,10.1021/cb400265y,,,,,,,,,,C,C2C12 Cells,Some toxicity at 10 µM compound,"Ligand = 1, 10 µM",Cytotoxicity,Flow Cytometry,-,Hoechst 33258 used as positive control for gating. ,,,,,,,,,,,,,,,
R-BIND (LM) 0013,R-BIND (MV) 0018,C[C@@H](NC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O,2H-K4NH,10.1021/cb400265y,,r(CUG)12-MBNL1 complex,IC50 = ~ 35 µM,NR,"20 mM HEPES (pH = 7.5), 110 mM KCl, 110 mM NaCl, 0.1% (w/v) BSA, 2 mM MgCl2, 2 mM CaCl2, 0.05% (v/v) Tween-20, and 5 mM DTT",Protein Displacement,TR-FRET,-,Corrected for background noise,,HeLa Cells (DM1),~70% improvement in cTNT Exon 5 inclusion,Ligand = 10 µM,RNA Splicing,RT-PCR,"Cells were treated post-transfection in growth medium. In the absence of r(CUG)exp, the exon 5 inclusion rate is ?45%, whereas in the presence of r(CUG) exp, the exon 5 inclusion rate is ?85% ","Compared to untreated cells, and cells lacking r(CUG)exp",,,,,,,,,,,,,,,
R-BIND (LM) 0013,R-BIND (MV) 0018,C[C@@H](NC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O,2H-K4NH,10.1021/cb400265y,C,Pronase,Pronase unstable at pH = 7.8 and pH = 9.0,Ligand = 400 µM,50 mM Tris-HCl (pH = 7.8 or 9.0) and 10 mM CaCl2,Activity,Pronase Activity,Incubated for 18 h. Products were analyzed by HPLC,-,,C2C12 Cells,~140% enhancement of luciferase activity,Ligand = 10 µM,Translational Activity,Reporter,Cells expressing 800 or 0 CTG repeats in the 3' UTR of luciferase were used. Cells were then treated with compound and monitored for luciferase activity.,"Compared to parent compound, 2H4. Enhancement of Luciferase activity is relative to untreated cells. ",,,,,,,,,,,,,,,
R-BIND (LM) 0013,R-BIND (MV) 0018,C[C@@H](NC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O,2H-K4NH,10.1021/cb400265y,,,,,,,,,,C,C2C12 Cells,Compound is cell-permeable,"Ligand = 1, 10 µM",Cell Uptake,Flow Cytometry,-,"Compared to parent compound, 2H4. Hoechst 33258 used as positive control for gating. ",,,,,,,,,,,,,,,
R-BIND (LM) 0013,R-BIND (MV) 0018,C[C@@H](NC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O,2H-K4NH,10.1021/cb400265y,,,,,,,,,,C,C2C12 Cells,No effect on toxicity,"Ligand = 1, 10 µM",Cytotoxicity,Flow Cytometry,-,"Compared to parent compound, 2H4. Hoechst 33258 used as positive control for gating. ",,,,,,,,,,,,,,,
